Index.No.,Region,Country,Port.Name,latdeg,latmin,latdir,londeg,lonmin,londir,Publication,Chart,Harbor.Size,Harbor.Type,Shelter,Tide,Swell,Ice,Other,Overhead.Limits,Channel,Anchorage,Cargo.Pier,Oil.Terminal,Tide.1,Maximum.Size,Good.Holding,Turning.Area,X1st.Port.of.Entry,U.S.,ETA.Message,Compulsory,Available,Local.Assistance,Advisable,Tug.Salvage,Tug.Assistance,Pratique,Derat.Certificate,Other.1,Telephone,Telegraph,Radio,Radio.Telephone,Air,Rail,Wharves,Anchor,Med..Moor,Beach.Moor,Ice.Moor,Medical.Facilities,Garbage.Disposal,Degauss,Dirty.Ballast,Fixed,Mobile,Floating,X100.Tons.Plus,X50.100.Tons,X25.49.Tons,X0.24.Tons,Longshore,Electrical,Steam,Nav.Equipment,Electric.Repair,Provisions,Water,Fuel.Oil,Diesel.Oil,Deck,Engine,Repair,Drydock,Railway,latlon,lat,lon
7730,6585,US,RENSSELAER,42,39,N,73,45,W,CP02,12348,V,RN,G,N,N,N,Y,Y,N,J,L,K,5,M,,,N,N,N,Y,,,,,Y,Y,Y,,Y,,,,Y,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,42 39 N 73 45 W,42.65,-73.75
7740,6585,US,TROY,42,44,N,73,42,W,CP02,12348,V,RN,G,N,N,N,Y,Y,O,O,O,O,5,M,,,N,N,N,Y,,,,,Y,Y,Y,,Y,,,,Y,Y,,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,,,C,,M,42 44 N 73 42 W,42.7333333333333,-73.7
10010,9980,BS,MATTHEW TOWN,20,57,N,73,41,W,147,26267,V,OR,G,N,N,N,Y,N,O,G,H,,2,M,Y,Y,Y,N,Y,N,Y,,,N,N,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,N,N,N,Y,,,N,,,,,,,,Y,,,,,Y,Y,,Y,,,C,,,20 57 N 73 41 W,20.95,-73.6833333333333
7620,6585,US,PORT CHESTER,41,0,N,73,40,W,CP02,12367,V,RN,G,N,N,N,Y,Y,P,P,O,,7,M,,,N,N,N,N,N,,,,N,Y,Y,,Y,,,,,Y,,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,,Y,,,C,,S,41 0 N 73 40 W,41,-73.6666666666667
7610,6585,US,GREENWICH,41,1,N,73,37,W,CP02,12367,V,CN,E,N,N,Y,Y,N,P,P,O,,7,M,,,N,N,N,Y,,,,N,N,Y,Y,,Y,,,,,Y,Y,,,,,,,,N,,,,,,,,,,,,,Y,Y,,Y,Y,Y,B,,,41 1 N 73 37 W,41.0166666666667,-73.6166666666667
7600,6585,US,STAMFORD,41,2,N,73,33,W,CP02,12368,V,RN,E,N,N,Y,Y,N,O,O,O,,7,M,,,N,N,N,Y,,,,N,N,Y,Y,,Y,Y,,,,Y,Y,,,,,Y,,,N,,,,,,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,B,,M,41 2 N 73 33 W,41.0333333333333,-73.55
2235,1930,CA,MONTREAL,45,31,N,73,33,W,145,14206,L,RN,G,N,N,Y,,Y,J,J,K,K,0,L,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,Y,Y,A,M,,45 31 N 73 33 W,45.5166666666667,-73.55
14250,14070,CL,PUERTO QUEMCHI,42,9,S,73,29,W,125,22341,V,CN,E,Y,N,N,Y,N,,A,,,7,M,Y,,,,,,,,,,,Y,,Y,Y,Y,,,,,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,,,,,C,,,42 9 S 73 29 W,-42.15,-73.4833333333333
14330,14070,CL,PUERTO DE CORRAL,39,52,S,73,26,W,125,22305,V,CN,F,N,N,N,Y,N,J,H,J,,2,L,N,,Y,N,Y,Y,Y,,Y,,,,,,,Y,,,,,Y,Y,,,,Y,,,N,,,,,,,,Y,,,,,Y,Y,,Y,,,C,,S,39 52 S 73 26 W,-39.8666666666667,-73.4333333333333
7590,6585,US,NORWALK,41,6,N,73,25,W,CP02,12368,V,RN,E,Y,N,Y,Y,Y,P,P,P,,7,,,,N,N,N,Y,,,,N,N,Y,Y,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,,Y,,,C,,S,41 6 N 73 25 W,41.1,-73.4166666666667
7580,6585,US,SOUTHPORT,41,8,N,73,17,W,CP02,12369,V,RN,G,N,N,N,Y,N,P,P,P,,7,M,,,N,N,N,Y,,,,N,N,Y,Y,,Y,,,,,,Y,,,,,,,,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,C,,S,41 8 N 73 17 W,41.1333333333333,-73.2833333333333
